2022-11-18 14:08:36.529 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:08:37.048 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:08:37.586 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:00.261 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:15.076 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:15.600 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:16.126 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:16.641 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:24.851 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:38.275 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:38.813 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:39.340 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:09:39.884 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:26.413 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:26.945 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:27.464 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:27.979 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:42.854 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:43.390 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:43.937 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:10:44.485 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:11:04.578 uiautomation.py[6473] Refind -> 2022-11-18 14:19:29.976 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:19:44.269 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:19:44.784 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:19:45.302 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:19:45.820 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:19:53.979 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:07.941 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:08.462 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:08.981 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:09.495 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:17.735 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:31.364 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:31.892 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:32.407 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:20:32.928 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:21:17.595 uiautomation.py[6473] Refind -> 2022-11-18 14:26:57.515 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:12.424 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:12.944 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:13.472 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:13.989 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:22.256 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:35.677 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:36.197 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:36.726 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:37.262 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:45.504 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:58.865 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:59.396 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:27:59.943 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:28:00.475 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
